Protein A (gene name)	Protein B (gene name)	PubMed ID	Source databases
0610012G03RIK	PCBP1	11591653	(mentha)
1110037F02RIK	YWHAE	16615898	(mentha)
1600012H06RIK	YWHAE	16615898	(mentha)
1600012P17RIK	YWHAE	16615898	(mentha)
16AOH-B	YWHAE	16615898	(mentha)
1700006A11RIK	BMPR1B	15761153	(mentha)
1700021K19Rik	Becn1	19270693	MI:0974(innatedb)
1700021K19Rik	Cyba	22423966	MI:0974(innatedb)
1700021K19Rik	Cybb	22423966	MI:0974(innatedb)
1810009A15RIK	YWHAE	16615898	(mentha)
2010300C02RIK	YWHAE	16615898	(mentha)
2210010C04RIK	CEP290	21565611	(mentha)
2210010C04RIK	NPHP3	21565611	(mentha)
2210010C04RIK	NPHP4	21565611	(mentha)
2610020H08RIK	CENPC	21274006	(mentha)
4732456N10RIK	HSD3B4	16615898	(mentha)
4732456N10RIK	YWHAE	16615898	(mentha)
4732456N10RIK	YWHAZ	16615898	(mentha)
4932442L08RIK	ATP6V1A	22707207	(mentha)
A2M	KCNMA1	19423573	(mentha)
A2M	YWHAE	16615898	(mentha)
A2M	YWHAH	21311561	(mentha)
A2NTY6	A2NTU7	17418792	(mentha)
A6NAR8	A6NAR8	23986251	(mentha)
AACS	HMGA2	26045162	(mentha)
AACS	YWHAE	16615898	(mentha)
AADAC	YWHAE	16615898	(mentha)
AADAT	HSD3B4	16615898	(mentha)
AADAT	YWHAE	16615898	(mentha)
AAK1	YWHAZ	19562802	(mentha)
AAMP	IRAK1	15102471	(mentha)
AAR2	CSF1	16267818	(mentha)
AARS	YWHAE	16615898	(mentha)
AARS	ISG15	16139798	(mentha)
AARS	RAB22A	26885862	(mentha)
AARSD1	YWHAE	16615898	(mentha)
AASS	HSD3B4	16615898	(mentha)
AASS	YWHAE	16615898	(mentha)
AATF	FOXP3	22922362	(mentha)
AATF	YWHAE	16615898	(mentha)
ABCA1	SPTLC1	18484747	(mentha)
ABCA3	YWHAE	16615898	(mentha)
ABCA8A	NPHP4	21565611	(mentha)
ABCA8B	YWHAE	16615898	(mentha)
ABCA8B	NPHP4	21565611	(mentha)
ABCB10	ABCB10	15215243	(mentha)
ABCB11	HSD3B7	16615898	(mentha)
ABCB7	COX4I1	19691493	(mentha)
ABCB7	FECH	19691493	(mentha)
ABCB8	YWHAB	16635246	(mentha)
ABCC2	HSD3B7	16615898	(mentha)
ABCC2	YWHAZ	16615898	(mentha)
ABCD2	ABCD1	10551832	(mentha)
ABCD2	ABCD2	10551832	(mentha)
ABCD2	ABCD3	10551832	(mentha)
ABCD2	RAB6A	26885862	(mentha)
ABCD3	YWHAE	16615898	(mentha)
ABCD3	ABCD1	10551832	(mentha)
ABCD3	HSD3B4	16615898	(mentha)
ABCD3	YWHAZ	16615898	(mentha)
ABCE1	UBC	23649778	(mentha)
ABCE1	HMGA2	26045162	(mentha)
ABCF2	HMGA2	26045162	(mentha)
