Protein A (gene name)	Protein B (gene name)	PubMed ID	Source databases
ABCF2	NANOG	21589869	(mentha)
ABCF2	EED	24457600	(mentha)
ABCF2	UBC	23649778	(mentha)
ABCF3	YWHAE	16615898	(mentha)
ABCF3	YWHAH	21311561	(mentha)
ABCG2	HSD3B4	16615898	(mentha)
ABCG2	YWHAZ	16615898	(mentha)
ABCG3	CFL1	17205597	(mentha)
ABCG3	PPIA	17205597	(mentha)
ABCG3	LGALS4	17205597	(mentha)
ABCG3	CDC42	17205597	(mentha)
ABCG3	AGR2	17205597	(mentha)
ABCG3	SLC9A3R1	17205597	(mentha)
ABCG3	ANXA13	17205597	(mentha)
ABCG3	EZR	17205597	(mentha)
ABCG3	CES1E	17205597	(mentha)
ABCG3	PFN1	17205597	(mentha)
ABCG3	ANXA4	17205597	(mentha)
ABHD1	YWHAE	16615898	(mentha)
ABHD10	YWHAE	16615898	(mentha)
ABHD11	YWHAE	16615898	(mentha)
ABHD12	YWHAE	16615898	(mentha)
ABHD14B	YWHAE	16615898	(mentha)
ABHD14B	YWHAZ	16615898	(mentha)
ABHD14B	HSD3B4	16615898	(mentha)
ABHD5	PLIN1	16679289|21393244|15136565	(mentha)
ABHD5	PLIN2	15136565	(mentha)
ABHD5	PNPLA2	16679289|21393244	(mentha)
ABHD6	YWHAE	16615898	(mentha)
ABI1	DLGAP4	15102471	(mentha)
ABI1	NCK2	11557983	(mentha)
ABI1	CBLB	15102471	(mentha)
ABI1	CAMK2A	15102471	(mentha)
ABI1	ABL1	11163214	(mentha)
ABI1	NCKAP1L	20697350	(mentha)
ABI1	PREX1	15102471	(mentha)
ABI1	CYFIP2	20697350	(mentha)
ABI1	RBM3	15102471	(mentha)
ABI1	EPS8	9010225|12515821|19564905	(mentha)
ABI1	PRRC2A	15102471	(mentha)
ABI1	FNBP1	15102471	(mentha)
ABI1	NCF1	15102471	(mentha)
ABI1	YWHAZ	16615898	(mentha)
ABI1	SOS1	11003655	(mentha)
ABI1	TPM1	15102471	(mentha)
ABI1	SOS2	11003655	(mentha)
ABI1	STX4	15102471	(mentha)
ABI1	PIK3R1	12515821	(mentha)
ABI1	WASF2	18044991|20697350	(mentha)
ABI1	YWHAE	16615898	(mentha)
ABI3BP	YWHAE	16615898	(mentha)
ABL1	ABL1	11274764	(mentha)
ABL1	DOK2	12777393	(mentha)
ABL1	SNCA	24412932	(mentha)
ABLIM1	DLG4	19455133	(mentha)
ABLIM1	YWHAE	16615898	(mentha)
ABLIM2	YWHAE	16615898	(mentha)
ABR	RAC1	17116687	(mentha)
ABRACL	YWHAH	21311561	(mentha)
ABT1	TBP	10648625	(mentha)
ABTB1	TLX3	20211142	(mentha)
ABTB1	DMRTC2	20211142	(mentha)
ABTB1	EWSR1	20211142	(mentha)
ACAA1A	HMGA2	26045162	(mentha)
ACAA1A	HSD3B4	16615898	(mentha)
ACAA1A	RAB21	26885862	(mentha)
ACAA1A	YWHAE	16615898	(mentha)
ACAA1A	YWHAZ	16615898	(mentha)
ACAA1B	YWHAE	16615898	(mentha)
ACAA1B	YWHAZ	16615898	(mentha)
ACAA1B	HSD3B4	16615898	(mentha)
ACAA2	YWHAE	16615898	(mentha)
ACAA2	YWHAZ	16615898	(mentha)
ACAA2	NPHP4	21565611	(mentha)
ACAA2	HSD3B4	16615898	(mentha)
ACAA2	IQCB1	21565611	(mentha)
ACAA2	KCNMA1	19423573	(mentha)
ACACA	YWHAE	16615898	(mentha)
ACACA	ATP6V1A	22707207	(mentha)
ACACA	BRCA1	24565757	(mentha)
ACACB	PGLS	16615898	(mentha)
ACACB	YWHAE	16615898	(mentha)
ACAD10	HSD3B4	16615898	(mentha)
ACAD10	YWHAE	16615898	(mentha)
ACAD11	YWHAE	16615898	(mentha)
ACAD11	HSD3B4	16615898	(mentha)
ACAD8	HSD3B4	16615898	(mentha)
ACAD8	YWHAE	16615898	(mentha)
ACAD9	HSD3B4	16615898	(mentha)
ACAD9	YWHAE	16615898	(mentha)
ACADS	YWHAE	16615898	(mentha)
ACADS	YWHAZ	16615898	(mentha)
ACADSB	YWHAE	16615898	(mentha)
ACADSB	HSD3B4	16615898	(mentha)
ACADVL	SOCS3	22093833	(mentha)
ACAT1	DLG4	19455133	(mentha)
ACAT1	HSD3B4	16615898	(mentha)
ACAT1	YWHAE	16615898	(mentha)
ACAT1	YWHAZ	16615898	(mentha)
ACAT1	UNK	25737280	(mentha)
ACAT2	YWHAE	16615898	(mentha)
ACAT3	YWHAE	16615898	(mentha)
ACBD5	YWHAE	16615898	(mentha)
ACD	POT1B	17632522|22748632	(mentha)|(mentha)
ACE2	YWHAZ	16615898	(mentha)
ACHE	LAMB1	15474030	(mentha)
ACHE	LAMA1	12524166	(mentha)
ACIN1	PGLS	16615898	(mentha)
ACIN1	CEBPA	26167872	(mentha)
ACIN1	POU5F1	20362542	(mentha)
ACIN1	YWHAE	16615898	(mentha)
ACIN1	FOXP3	22922362	(mentha)
ACLY	YWHAE	16615898|16944949	(mentha)
ACLY	MEF2C	15102471	(mentha)
ACLY	YWHAZ	16615898	(mentha)
ACLY	HSD3B4	16615898	(mentha)
ACLY	ISG15	16139798	(mentha)
ACMSD	YWHAE	16615898	(mentha)
ACO1	YWHAE	16615898	(mentha)
ACO1	HSD3B4	16615898	(mentha)
ACO2	ITPR1	15652484	(mentha)
ACO2	HSD3B4	16615898	(mentha)
ACO2	KCNMA1	19423573	(mentha)
ACO2	DLG4	19455133	(mentha)
ACO2	YWHAH	21311561	(mentha)
ACO2	YWHAZ	19562802	(mentha)
ACO2	GRIN2B	16635246	(mentha)
ACO2	YWHAE	16615898	(mentha)
ACOT11	YWHAE	16615898	(mentha)
ACOT11	HSD3B4	16615898	(mentha)
ACOT12	HSD3B4	16615898	(mentha)
ACOT12	PGLS	16615898	(mentha)
ACOT12	YWHAE	16615898	(mentha)
ACOT13	PRKCE	12169683	(mentha)
ACOT13	YWHAE	16615898	(mentha)
ACOT2	HSD3B4	16615898	(mentha)
ACOT2	YWHAE	16615898	(mentha)
ACOT3	HSD3B7	16615898	(mentha)
ACOT3	PGLS	16615898	(mentha)
ACOT3	HSD3B4	16615898	(mentha)
ACOT3	YWHAE	16615898	(mentha)
ACOT4	YWHAE	16615898	(mentha)
ACOT4	HSD3B4	16615898	(mentha)
ACOT7	HSD3B4	16615898	(mentha)
ACOT7	YWHAE	16615898	(mentha)
ACOT7	DLG4	19455133	(mentha)
ACOT7	BRCA1	22034435	(mentha)
ACOT9	HSD3B4	16615898	(mentha)
ACOT9	NYAP2	21946561	(mentha)
ACOT9	YWHAE	16615898	(mentha)
ACOT9	RAB1A	26885862	(mentha)
ACOX1	HSD3B7	16615898	(mentha)
ACOX1	HSD3B4	16615898	(mentha)
ACOX1	YWHAE	16615898	(mentha)
ACOX1	PGLS	16615898	(mentha)
ACOX2	HSD3B4	16615898	(mentha)
ACOX2	YWHAE	16615898	(mentha)
ACOX3	HSD3B4	16615898	(mentha)
ACOX3	YWHAE	16615898	(mentha)
ACP1	YWHAE	16615898	(mentha)
ACP1	PGLS	16615898	(mentha)
ACP1	CTNNB1	12438242	(mentha)
ACP5	YWHAE	16615898	(mentha)
ACP6	HSD3B4	16615898	(mentha)
ACP6	YWHAE	16615898	(mentha)
ACR	ZP2	11739644	(mentha)
ACSF2	HSD3B4	16615898	(mentha)
ACSF2	YWHAE	16615898	(mentha)
ACSL1	CYP2D10	21751364	(mentha)
ACSL1	PGRMC1	21751364	(mentha)
ACSL3	YWHAE	16615898	(mentha)
ACSL4	YWHAE	16615898	(mentha)
ACSL4	EED	24457600	(mentha)
ACSL4	FOXP3	22922362	(mentha)
ACSL5	YWHAE	16615898	(mentha)
ACSL6	YWHAE	16615898	(mentha)
ACSL6	PHYH	12767919	(mentha)
ACSL6	ATP6V1A	22707207	(mentha)
ACSM1	YWHAE	16615898	(mentha)
ACSM1	HSD3B4	16615898	(mentha)
ACSM2	YWHAE	16615898	(mentha)
ACSM2	HSD3B4	16615898	(mentha)
ACSM5	HSD3B4	16615898	(mentha)
ACSM5	YWHAE	16615898	(mentha)
ACSS1	HSD3B4	16615898	(mentha)
ACSS1	YWHAE	16615898	(mentha)
ACSS2	YWHAE	16615898	(mentha)
ACTA1	SNCA	19553474	(mentha)
ACTA1	YWHAE	16615898	(mentha)
ACTA1	RPS7	17205597	(mentha)
ACTA1	PGRMC1	17205597	(mentha)
ACTA1	CALR	17205597	(mentha)
ACTA1	RPSA	17205597	(mentha)
ACTA1	EZR	17205597	(mentha)
ACTA1	IPP	11536049	(mentha)
ACTA1	ALB	17205597	(mentha)
ACTA1	GNB2L1	17205597	(mentha)
ACTA1	HSPA1L	17205597	(mentha)
ACTA1	ACTG1	17205597	(mentha)
ACTA1	HMGA2	26045162	(mentha)
ACTA1	YWHAZ	16959763	(mentha)
ACTA2	YWHAE	16615898	(mentha)
ACTA2	NPHP4	21565611	(mentha)
ACTB	NPHP4	21565611	(mentha)
ACTB	SEPT2	17024187	(mentha)
ACTB	PRKCE	15251432	(mentha)
ACTB	SULT2B1	20718863	(mentha)
ACTB	PKNOX1	17623278	(mentha)
ACTB	RARA	18495661	(mentha)
ACTB	PKD1	17707375	(mentha)
ACTB	PROM1	18654668	(mentha)
ACTB	ATP6V1A	16196101	(mentha)
ACTB	MT3	17018872	(mentha)
ACTB	GRIN1	10862698|16635246	(mentha)
ACTB	CSF1	16267818	(mentha)
ACTB	INVS	21565611	(mentha)
ACTB	LIPC	19136429	(mentha)
ACTB	CAV1	15293782	(mentha)
ACTB	CASK	19022416	(mentha)
ACTBL2	HSD3B4	16615898	(mentha)
ACTBL2	YWHAH	21311561	(mentha)
ACTBL2	YWHAE	16615898	(mentha)
ACTBL2	LRRK2	20876399	(mentha)
ACTC1	NPHP4	21565611	(mentha)
ACTC1	MYBPC3	22982234	(mentha)
ACTC1	PRKCE	11139474	(mentha)
ACTC1	GRIN1	10862698	(mentha)
ACTC1	BTK	15102471	(mentha)
ACTG1	P4HB	17205597	(mentha)
ACTG1	ANK3	19109891	(mentha)
ACTG1	RPGRIP1L	21565611	(mentha)
ACTG1	YWHAH	21311561	(mentha)
ACTG1	YWHAE	16615898	(mentha)
ACTG1	PGRMC1	17205597	(mentha)
ACTG1	NPHP1	21565611	(mentha)
ACTG1	VIL1	17205597	(mentha)
ACTG1	CASK	19022416	(mentha)
ACTG1	SULT2B1	20718863	(mentha)
ACTG1	KHK	17205597	(mentha)
ACTG1	LMNA	21327095	(mentha)
ACTG1	INVS	21565611	(mentha)
ACTG1	GRIA2	19022416	(mentha)
ACTG1	RPSA	17205597	(mentha)
ACTG1	NPHP4	21565611	(mentha)
ACTG1	CALR	17205597	(mentha)
ACTG1	HMGA2	26045162	(mentha)
ACTG1	YWHAZ	16959763|19562802|19562802	(mentha)|(mentha)
ACTG1	MKS1	21565611	(mentha)
ACTG2	YWHAE	16615898	(mentha)
ACTL6A	SALL4	20362541	(mentha)
ACTL6A	SMARCA2	19279220	(mentha)
ACTL6A	TFCP2L1	20362541	(mentha)
ACTL6A	DMAP1	20946988	(mentha)
ACTL6A	KAT5	24302573|20946988	(mentha)
ACTL6A	SOX2	21532573	(mentha)
ACTL6A	MAX	20946988	(mentha)
ACTL6A	CHAF1A	26365490	(mentha)
ACTL6A	YWHAE	16615898	(mentha)
ACTL6A	SMARCC1	24421395	(mentha)
ACTL6A	SMARCA4	23540691|19279220	(mentha)
ACTL6A	RNF2	22496869	(mentha)
ACTL6A	EP400	22496869	(mentha)
ACTL6A	POU5F1	22083510|20362542	(mentha)
ACTL6B	SMARCA4	12368262	(mentha)
ACTL6B	YWHAE	16615898	(mentha)
ACTL6B	SMARCA2	12368262	(mentha)
ACTN1	SGK223	20697350	(mentha)
ACTN1	SORBS2	20886612	(mentha)
ACTN1	YWHAE	16615898	(mentha)
ACTN1	TRAF6	16196101	(mentha)
ACTN1	YWHAZ	16615898|19562802	(mentha)
ACTN1	SULT2B1	20718863	(mentha)
ACTN1	PTPRQ	16973135	(mentha)
ACTN1	HSD3B4	16615898	(mentha)
ACTN1	PCP2	16973135	(mentha)
ACTN1	NPHP4	21565611	(mentha)
ACTN1	ATP6V1A	16196101	(mentha)
ACTN1	CHRNA1	22956146	(mentha)
ACTN2	GRIP1	15072553	(mentha)
ACTN2	YWHAZ	19562802	(mentha)
ACTN2	YWHAE	16615898	(mentha)
ACTN2	GRIN1	10862698|16635246	(mentha)
ACTN2	PRKCE	12169683	(mentha)
ACTN2	RAVER1	11724819	(mentha)
ACTN2	AR	15072553	(mentha)
ACTN2	CAMK2A	16120608	(mentha)
ACTN2	GRIN2B	16635246|16710293|10862698	(mentha)
ACTN2	YWHAB	16635246	(mentha)
ACTN2	RAB6B	26885862	(mentha)
ACTN3	RAB33B	26885862	(mentha)
ACTN4	MTTP	17205597	(mentha)
ACTN4	NOS2	12960352	(mentha)
ACTN4	ATP6V1A	16196101	(mentha)
ACTN4	TJP1	16944923	(mentha)
ACTN4	SULT2B1	20718863	(mentha)
ACTN4	P4HB	17205597	(mentha)
ACTR10	EED	24457600	(mentha)
ACTR1A	BCL2	16717086	(mentha)
ACTR1B	KCNMA1	20114047	(mentha)
ACTR1B	YWHAE	16615898	(mentha)
ACTR1B	ATP6V1A	22707207	(mentha)
ACTR3	KCNMA1	19423573	(mentha)
ACTR3	POU5F1	22083510	(mentha)
ACTR3	LRRK2	20876399	(mentha)
ACTR3	EPCAM	17205597	(mentha)
ACTR3	UNK	25737280	(mentha)
ACTR3	EED	24457600	(mentha)
ACTR3	YWHAE	16615898	(mentha)
ACTR3	TRAF6	16196101	(mentha)
ACTR3	YWHAZ	19562802|16615898	(mentha)|(mentha)
ACTR3	HSD3B4	16615898	(mentha)
ACTR3	ATP1B1	17205597	(mentha)
ACTR3	ATP1A1	17205597	(mentha)
ACTRT3	VCP	18692047	(mentha)
ACTRT3	SCAPER	18692047	(mentha)
ACVR1	SMAD7	20663871	(mentha)
ACVR1	SMAD6	20663871	(mentha)
ACVR1B	INHBA	7577669	(mentha)
ACVRL1	CDH5	18337748	(mentha)
ACVRL1	YWHAE	16615898	(mentha)
ACY1	YWHAZ	16615898	(mentha)
ACY1	YWHAE	16615898	(mentha)
ACY1	HSD3B4	16615898	(mentha)
ACY1	RAB4B	26885862	(mentha)
ACY3	YWHAE	16615898	(mentha)
ACY3	YWHAZ	16615898	(mentha)
ACY3	HSD3B4	16615898	(mentha)
ACY3	ACY3	17434493|23010594	(mentha)
ADAD1	CENPC	21274006	(mentha)
ADAM11	YWHAB	16635246	(mentha)
ADAM12	GRB2	11127814	(mentha)
ADAM17	TIMP3	18295466	(mentha)
ADAM22	YWHAZ	19562802	(mentha)
ADAM22	DLG4	19022416|19455133	(mentha)
ADAM22	YWHAE	16615898	(mentha)
ADAM22	YWHAB	16635246	(mentha)
ADAM22	GRIN2B	16635246	(mentha)
ADAM23	PRNP	15146195	(mentha)
ADAM23	RYR1	15102471	(mentha)
ADAM23	YWHAB	16635246	(mentha)
ADAM23	YWHAE	16615898	(mentha)
ADAMTS1	DCHS1	16061471	(mentha)
ADAMTS7	RAB3A	26885862	(mentha)
ADAP1	YWHAE	16615898	(mentha)
ADAR	YWHAE	16615898	(mentha)
ADAR	FOXP3	22922362	(mentha)
ADARB1	YWHAE	16615898	(mentha)
ADCK3	YWHAE	16615898	(mentha)
ADCY2	YWHAE	16615898	(mentha)
ADCY3	CAV1	12122055	(mentha)
ADCY3	STOML3	12122055	(mentha)
ADCY8	CALM3	16258073	(mentha)
ADCY8	PPP2CA	16258073	(mentha)
ADD1	SMARCA4	17074803	(mentha)
ADD1	SIN3A	17074803	(mentha)
ADD1	FOXP3	22922362	(mentha)
ADD1	SMARCC1	17074803	(mentha)
ADD1	YWHAE	16615898	(mentha)
ADD1	HSD3B4	16615898	(mentha)
ADD1	YWHAB	16635246	(mentha)
ADD2	YWHAB	16635246	(mentha)
ADD2	YWHAE	16615898	(mentha)
ADD2	FYN	16765915	(mentha)
ADD3	FOXP3	22922362	(mentha)
ADD3	YWHAE	16615898	(mentha)
ADD3	YWHAB	16635246	(mentha)
ADH4	PGLS	16615898	(mentha)
ADH7	YWHAE	16615898	(mentha)
ADHFE1	YWHAE	16615898	(mentha)
ADHFE1	HSD3B4	16615898	(mentha)
ADIPOQ	YWHAE	16615898	(mentha)
ADIPOQ	ADIPOQ	22583869|19855092|17292892|19011089|21536037	(mentha)
ADIPOR1	APPL2	16622416	(mentha)
ADNP	EED	24457600	(mentha)
ADNP	TFCP2L1	20362541	(mentha)
ADNP	CBX5	17222401	(mentha)
ADNP	YWHAE	16615898	(mentha)
ADORA2A	DRD2	21806555	(mentha)
ADPGK	YWHAE	16615898	(mentha)
ADPRHL1	YWHAE	16615898	(mentha)
ADPRHL2	YWHAE	16615898	(mentha)
ADRB1	PRKACA	18188154	(mentha)
ADRBK1	NEDD4	17544362	(mentha)
ADRBK1	GNG2	7972043	(mentha)
ADRBK1	MDM2	21081496	(mentha)
ADRBK1	GNB1	7972043	(mentha)
ADRBK1	YWHAE	16615898	(mentha)
ADRM1	RAB39B	26885862	(mentha)
ADRM1	PSMB8	23706739	(mentha)
ADRM1	PSME4	23706739	(mentha)
ADRM1	PSMD6	23706739	(mentha)
ADRM1	PSMB5	23706739	(mentha)
ADRM1	PSMC6	23706739	(mentha)
ADRM1	UBC	18497817	(mentha)
ADRM1	PSMB9	23706739	(mentha)
ADRM1	PSMB1	23706739	(mentha)
ADRM1	PSMA2	23706739	(mentha)
ADRM1	PSMA8	23706739	(mentha)
ADRM1	FBXO32	22673621	(mentha)
ADRM1	PSME2	23706739	(mentha)
ADSSL1	ADSSL1	11560929	(mentha)
AEBP1	NFE2	20211142	(mentha)
AEBP1	GMEB2	20211142	(mentha)
AEBP2	EZH2	23624931|20064376|20123894	(mentha)|(mentha)
AEBP2	EZH1	20064376	(mentha)
AEBP2	EED	20064375|20064376	(mentha)
AEBP2	SUZ12	22438827	(mentha)
AEBP2	JARID2	20064376|20064375	(mentha)
AES	AES	16002402	(mentha)
AES	POU2F1	16002402	(mentha)
AES	MSX1	16002402	(mentha)
AES	YWHAE	16615898	(mentha)
AES	TRAF1	15102471	(mentha)
AF251705	Hcst	12893283	"psi-mi:""MI:0463""(biogrid)"
AF251705	Fcer1g	12893283	"psi-mi:""MI:0463""(biogrid)"
AF251705	Tyrobp	12893283	"psi-mi:""MI:0463""(biogrid)"
AF366264	Mdm2	17086174	"psi-mi:""MI:0463""(biogrid)"
AF366264	Trp53	17086174	"psi-mi:""MI:0463""(biogrid)"
AFAP1L2	YWHAE	16615898	(mentha)
AFF3	IRS1	15602769	(mentha)
AFF4	CDK9	20593818	(mentha)
AFF4	YWHAE	16615898	(mentha)
AFF4	SIAH1A	15459319	(mentha)
AFG3L1	RYR1	15102471	(mentha)
AFG3L2	HSD3B4	16615898	(mentha)
AFG3L2	GIT1	19022416	(mentha)
AFG3L2	YWHAE	16615898	(mentha)
AFMID	YWHAE	16615898	(mentha)
AFP	YWHAE	16615898	(mentha)
AGAP2	INSR	21720388	(mentha)
AGAP2	DCC	18469807	(mentha)
AGAP2	PRLR	20075866	(mentha)
AGAP2	STAT5A	20075866	(mentha)
AGBL2	YWHAE	16615898	(mentha)
AGER	YWHAE	16615898	(mentha)
AGFG1	EPS15	9303539	(mentha)
AGFG1	YWHAE	16615898	(mentha)
AGK	YWHAB	16635246	(mentha)
AGK	YWHAE	16615898	(mentha)
AGK	EED	24457600	(mentha)
AGL	YWHAE	16615898	(mentha)
AGL	AMY1	20391537	(mentha)
AGO1	YWHAE	16615898	(mentha)
AGO1	TRIM32	19269368	(mentha)
AGO2	RPS18	22918229	(mentha)
AGO2	RPS19	22918229	(mentha)
AGO2	RPS3A	22918229	(mentha)
AGO2	DHX9	22918229	(mentha)
AGO2	HNRNPC	22918229	(mentha)
AGO2	IGF2BP2	22918229	(mentha)
AGO2	HSP90AB1	22918229	(mentha)
AGO2	FXR2	22918229	(mentha)
AGO2	LARP1	22918229	(mentha)
AGO2	YWHAE	16615898	(mentha)
AGO2	PABPC1	22918229	(mentha)
AGO2	FAM120A	22918229	(mentha)
AGO2	TNRC6A	22918229|22385959	(mentha)
AGO2	TNRC6C	19838187|22918229	(mentha)
AGO2	HP1BP3	22918229	(mentha)
AGO2	RC3H1	25697406	(mentha)
AGO2	MOV10	22918229	(mentha)
AGO2	HERC6	22918229	(mentha)
AGO2	TROVE2	22918229	(mentha)
AGO2	RPS14	22918229	(mentha)
AGO2	EDC4	22918229	(mentha)
AGO2	AGO3	22918229	(mentha)
AGO2	UBC	19898466|22508726	(mentha)
AGO2	ZNF521	22918229	(mentha)
AGO2	TRIM71	19898466	(mentha)
AGO2	FKBP5	22918229	(mentha)
AGO2	ELAVL1	22918229	(mentha)
AGO2	IGF2BP1	22918229	(mentha)
AGO2	CLTC	22918229	(mentha)
AGO2	HSP90AA1	22918229	(mentha)
AGO2	PUM2	22918229	(mentha)
AGO2	FXR1	22918229	(mentha)
AGO2	TARBP2	22918229	(mentha)
AGO2	HIST1H1E	22918229	(mentha)
AGO2	YBX1	22918229	(mentha)
AGO2	DDX6	22918229	(mentha)
AGO2	TNRC6B	19838187|22918229	(mentha)
AGPAT5	YWHAB	16635246	(mentha)
AGPAT5	EED	24457600	(mentha)
AGPAT5	HMGA2	26045162	(mentha)
AGPS	HSD3B4	16615898	(mentha)
AGPS	RAB5C	26885862	(mentha)
AGPS	YWHAE	16615898	(mentha)
AGRN	YWHAE	16615898	(mentha)
AGTRAP	AGTR1A	10358057|15757644	(mentha)
AGTRAP	TNFRSF1A	15102471	(mentha)
AHCTF1	NANOG	17093407	(mentha)
AHCTF1	HMGA2	26045162	(mentha)
AHCTF1	YWHAE	16615898	(mentha)
AHCY	TRAF1	15102471	(mentha)
AHCYL1	YWHAE	16615898	(mentha)
AHCYL2	YWHAE	16615898	(mentha)
AHDC1	YWHAE	16615898	(mentha)
AHI1	HSPA9	21565611	(mentha)
AHI1	TCTN1	21565611	(mentha)
AHI1	JUP	21565611	(mentha)
AHI1	MKS1	21565611	(mentha)
AHI1	INVS	21565611	(mentha)
AHI1	TUBB5	21565611	(mentha)
AHI1	HSPA8	21565611	(mentha)
AHI1	TUBA1B	21565611	(mentha)
AHI1	FHL2	21565611	(mentha)
AHI1	HAP1	21146532	(mentha)
AHI1	HSP90AB1	21565611	(mentha)
AHI1	CC2D2A	21565611	(mentha)
AHI1	ACTB	21565611	(mentha)
AHI1	CCT8	21565611	(mentha)
AHI1	HSPA5	21565611	(mentha)
AHI1	HSP90AA1	21565611	(mentha)
AHNAK	YWHAE	16615898	(mentha)
AHNAK2	YWHAH	21311561	(mentha)
AHR	AIP	20211142	(mentha)
AHR	HSP90AA1	9020169	(mentha)
AHR	HSP90AB1	8828811	(mentha)
AHRR	ARNT	19251700	(mentha)
AHSA1	YWHAE	16615898	(mentha)
AHSA1	HSD3B4	16615898	(mentha)
AHSP	YWHAE	16615898	(mentha)
AI464131	Igf2	19706595	"psi-mi:""MI:0463""(biogrid)"
AICDA	EXOSC6	21255825	(mentha)
AICDA	EXOSC5	21255825	(mentha)
AICDA	EXOSC3	21255825	(mentha)
AICDA	GADD45A	21722948	(mentha)
AICDA	TDG	21722948	(mentha)
AICDA	RPA2	19196992	(mentha)
AIDA	AXIN1	25117763	(mentha)
AIF1L	KCNMA1	19423573	(mentha)
AIF1L	HMGA2	26045162	(mentha)
AIFM1	HSD3B7	16615898	(mentha)
AIFM1	SHARPIN	21829440	(mentha)
AIFM1	YWHAZ	16615898	(mentha)
AIFM1	YWHAE	16615898	(mentha)
AIFM1	TSC22D4	23305244	(mentha)
AIFM1	YWHAB	16635246	(mentha)
AIFM1	AIFM1	20360685	(mentha)
AIFM1	PPIA	20360685	(mentha)
AIFM1	CHAF1A	26365490	(mentha)
AIFM1	HSD3B4	16615898	(mentha)
AIFM1	IQCB1	21565611	(mentha)
AIFM1	H2AFX	20360685	(mentha)
AIMP2	UBC	23649778	(mentha)
AIMP2	YWHAE	16615898	(mentha)
AIRE	NUP93	20085707	(mentha)
AIRE	TRIM28	20085707	(mentha)
AIRE	XPO1	20085707	(mentha)
AIRE	SMC1A	20085707	(mentha)
AIRE	POLR2B	20085707	(mentha)
AIRE	SRSF2	20085707	(mentha)
AIRE	SMC3	20085707	(mentha)
AIRE	TOP2A	20085707	(mentha)
AIRE	PARP1	20085707	(mentha)
AIRE	RUVBL2	20085707	(mentha)
AIRE	SUPT16H	20085707	(mentha)
AIRE	PCNA	20085707	(mentha)
AIRE	PABPC1	20085707	(mentha)
AIRE	SNRPB	20085707	(mentha)
AIRE	RANBP9	20085707	(mentha)
AIRE	RAD21	20085707	(mentha)
AIRE	RANBP2	20085707	(mentha)
AIRE	SRSF3	20085707	(mentha)
AIRE	SRSF1	20085707	(mentha)
